,№,General standard #,Freq.,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning
,29,0029,235,手 64.0,181725,"0,093935%",3,2,3,才,cái,cai,second,"talent, ability; just, only"
,30,0030,42,一 1.2,621185,"0,321096%",1,1,3,下,xià,xia,fourth,"under, underneath, below; down; inferior; bring down"
,31,0031,1904,寸 41.0,8056,"0,004164%",6,4,3,寸,cùn,cun,fourth,"inch; small, tiny; KangXi radical 41"
,32,0032,17,大 37.0,1054064,"0,544855%",1,1,3,大,dà,da,fourth,"big, great, vast, large, high"
,33,0033,1242,一 1.2,20372,"0,010530%",2,4,3,丈,zhàng,zhang,fourth,"unit of length equal 3.3 meters; gentleman, man, husband"
,34,0034,108,一 1.3,345532,"0,178608%",4,4,3,与,yǔ,yu,third,"and; with; to; for; give, grant"
,35,0035,322,一 1.2,134220,"0,069379%",3,2,3,万,wàn,wan,fourth,ten thousand; innumerable
,36,0036,16,一 1.2,1069575,"0,552872%",1,1,3,上,shàng,shang,fourth,"top; superior, highest; go up, send up"
,37,0037,83,小 42.0,410987,"0,212443%",1,1,3,小,xiǎo,xiao,third,"small, tiny, insignificant"
,38,0038,212,口 30.0,191936,"0,099213%",3,1,3,口,kǒu,kou,third,"mouth; open end; entrance, gate"
,39,0039,259,山 46.0,168142,"0,086914%",3,1,3,山,shān,shan,first,"mountain, hill, peak"
,40,0040,2281,巾 50.0,4967,"0,002567%",4,4,3,巾,jīn,jin,first,kerchief; towel; turban; KangXi radical number 50
,41,0041,599,十 24.1,67843,"0,035069%",2,2,3,千,qiān,qian,first,"thousand; many, numerous; very; (Cant.) a cheater, swindler"
,42,0042,2429,乙 5.2,4073,"0,002105%",6,7–9,3,乞,qǐ,qi,third,beg; request
,43,0043,1109,巛 47.0,25575,"0,013220%",6,7–9,3,川,chuān,chuan,first,"stream, river; flow; boil"
,44,0044,1057,人 9.1,27897,"0,014420%",5,2,3,亿,yì,yi,fourth,hundred million; many
,45,0045,12,丨 2.2,1199580,"0,620073%",1,1,3,个,gè,ge,fourth,"numerary adjunct, piece; single"
,46,0046,2003,夕 36.0,7025,"0,003631%",5,5,3,夕,xī,xi,first,"evening, night, dusk; slanted"
,47,0047,637,丿 4.2,62588,"0,032352%",3,2,3,久,jiǔ,jiu,third,"long time (ago); time passage, grow late"
,48,0048,63,丿 4.2,477969,"0,247066%",1,1,3,么,me,me,neutral,interrogative particle; repetition of a tune small; tender
,49,0049,3275,勹 20.1,1357,"0,000701%",4,6,3,勺,sháo,shao,second,"spoon, ladle; unit of volume"
,50,0050,1013,几 16.1,30533,"0,015783%",6,6,3,凡,fán,fan,second,"all, any, every; ordinary, common"
,51,0051,2462,丶 3.2,3847,"0,001989%",6,7–9,3,丸,wán,wan,second,"small round object; pellet, pill"
,52,0052,198,又 29.2,202671,"0,104762%",4,3,3,及,jí,ji,second,extend; reach; come up to; and
,53,0053,468,广 53.0,87900,"0,045436%",4,2,3,广,guǎng,guang,third,"wide, extensive, broad; rad. 53"
,54,0054,957,亠 8.1,33917,"0,017532%",6,6,3,亡,wáng,wang,second,"death, destroyed; lose, perish"
,55,0055,185,門 169.0,212769,"0,109982%",2,1,3,门,mén,men,second,"gate, door, entrance, opening"
,56,0056,2682,丨 2.2,2912,"0,001505%",,7–9,3,丫,yā,ya,first,forked; bifurcation
,57,0057,208,丿 4.2,193507,"0,100025%",5,3,3,义,yì,yi,fourth,"right conduct, righteousness"
,58,0058,44,丿 4.3,609003,"0,314799%",4,4,3,之,zhī,zhi,first,"marks preceding phrase as modifier of following phrase; it, him her, them; go to"
,59,0059,1517,尸 44.0,13609,"0,007035%",6,7–9,3,尸,shī,shi,first,corpse; to impersonate the dead; to preside; KangXi radical 44
,60,0060,162,己 49.0,250894,"0,129689%",3,2,3,己,jǐ,ji,third,"self, oneself; personal, private; 6th heavenly stem"
,61,0061,117,己 49.0,318143,"0,164451%",2,2,3,已,yǐ,yi,third,already; finished; stop
,62,0062,3381,己 49.0,1176,"0,000608%",,,3,巳,sì,si,fourth,the hours from 9 to 11; 6th terrestrial branch
,63,0063,2229,弓 57.0,5315,"0,002747%",,7–9,3,弓,gōng,gong,first,"bow; curved, arched; KangXi radical number 57"
,64,0064,37,子 39.0,640640,"0,331152%",1,1,3,子,zi,zi,neutral,"offspring, child; fruit, seed of; 1st terrestrial branch"
,65,0065,669,乙 5.2,58408,"0,030192%",4,3,3,卫,wèi,wei,fourth,"guard, protect, defend"
,66,0066,31,乙 5.2,710259,"0,367139%",2,1,3,也,yě,ye,third,also; classical final particle of strong affirmation or identity
,67,0067,224,女 38.0,185188,"0,095725%",1,1,3,女,nǚ,nü,third,"woman, girl; feminine; rad. 38"
,68,0068,2700,刀 18.1,2858,"0,001477%",,,3,刃,rèn,ren,fourth,"edged tool, cutlery, knife edge"
,69,0069,347,乙 5.2,122290,"0,063213%",1,1,3,飞,fēi,fei,first,fly; go quickly; dart; high
,70,0070,676,冫 15.1,57329,"0,029634%",1,1,3,习,xí,xi,second,practice; flapping wings
,71,0071,2231,又 29.1,5299,"0,002739%",5,5,3,叉,chā,cha,first,"crotch; fork, prong"
,72,0072,276,馬 187.0,155772,"0,080520%",3,1,3,马,mǎ,ma,third,horse; surname; KangXi radical 187
,73,0073,922,幺 52.0,36025,"0,018622%",5,3,3,乡,xiāng,xiang,first,country; rural; village
,74,0074,1189,丨 2.3,22439,"0,011599%",4,3,4,丰,fēng,feng,first,"abundant, lush, bountiful, plenty"
,75,0075,299,玉 96.0,143948,"0,074408%",5,2,4,王,wáng,wang,second,"king, ruler; royal; surname"
,76,0076,94,廾 55.1,377012,"0,194881%",1,1,4,开,kāi,kai,first,"open; initiate, begin, start"
,77,0077,1431,二 7.2,15158,"0,007835%",6,6,4,井,jǐng,jing,third,"well, mine shaft, pit"
,78,0078,78,大 37.1,419884,"0,217042%",1,1,4,天,tiān,tian,first,"sky, heaven; god, celestial"
,79,0079,377,大 37.1,114784,"0,059333%",2,3,4,夫,fū,fu,first,"man, male adult, husband; those"
,80,0080,370,儿 10.2,116488,"0,060214%",3,1,4,元,yuán,yuan,second,first; dollar; origin; head
,81,0081,105,无 71.0,359265,"0,185707%",4,4,4,无,wú,wu,second,"negative, no, not; KangXi radical 71"
,82,0082,692,二 7.2,54510,"0,028177%",4,2,4,云,yún,yun,second,"say, speak; clouds"
,83,0083,485,一 1.3,84361,"0,043607%",4,3,4,专,zhuān,zhuan,first,"monopolize, take sole possession"
,84,0084,2606,一 1.3,3201,"0,001655%",6,7–9,4,丐,gài,gai,fourth,beggar; beg; give
,85,0085,1411,手 64.1,15600,"0,008064%",6,6,4,扎,zhā,zha,first,pull up; pierce; struggle free
,86,0086,786,艸 140.1,45218,"0,023374%",4,3,4,艺,yì,yi,fourth,"art; talent, ability; craft"
,87,0087,694,木 75.0,54433,"0,028137%",5,3,4,木,mù,mu,fourth,"tree; wood, lumber; wooden"
,88,0088,279,二 7.2,154316,"0,079767%",1,1,4,五,wǔ,wu,third,five; surname
,89,0089,437,支 65.0,96814,"0,050044%",4,3,4,支,zhī,zhi,first,"disperse, pay; support; branch"
,90,0090,1217,厂 27.2,20989,"0,010849%",4,5,4,厅,tīng,ting,first,"hall, central room"
,91,0091,4,一 1.3,2237915,"1,156797%",1,1,4,不,bù,bu,fourth,"no, not; un-; negative prefix"
,92,0092,2649,犬 94.0,3042,"0,001572%",6,7–9,4,犬,quǎn,quan,third,dog; radical number 94
,93,0093,240,大 37.1,180490,"0,093297%",1,1,4,太,tài,tai,fourth,"very, too, much; big; extreme"
,94,0094,265,匸 23.2,164775,"0,085174%",4,3,4,区,qū,qu,first,"area, district, region, ward"
,95,0095,480,厂 27.2,85487,"0,044189%",3,3,4,历,lì,li,fourth,history; calendar
,96,0096,2905,歹 78.0,2148,"0,001110%",6,7–9,4,歹,dǎi,dai,third,"bad, vicious, depraved, wicked"
,97,0097,594,又 29.2,68196,"0,035251%",1,1,4,友,yǒu,you,third,"friend, companion; fraternity"
,98,0098,1099,尢 43.1,25908,"0,013392%",4,5,4,尤,yóu,you,second,"especially, particularly"
,99,0099,1908,匸 23.2,8025,"0,004148%",5,5,4,匹,pǐ,pi,third,bolt of cloth; counter for horses
,100,0100,361,車 159.0,118824,"0,061421%",1,1,4,车,chē,che,first,"cart, vehicle; carry in cart"
,101,0101,913,工 48.2,36351,"0,018790%",5,4,4,巨,jù,ju,fourth,"large, great, enormous; chief"
,102,0102,997,牙 92.0,31466,"0,016265%",3,4,4,牙,yá,ya,second,"tooth, molars, teeth; serrated"
,103,0103,2864,屮 45.1,2268,"0,001172%",,7–9,4,屯,tún,tun,second,"village, hamlet; camp; station"
,104,0104,1695,戈 62.0,10456,"0,005405%",,7–9,4,戈,gē,ge,first,"halberd, spear, lance; rad. 62"
,105,0105,199,比 81.0,200645,"0,103715%",2,1,4,比,bǐ,bi,third,"to compare, liken; comparison; than"
,106,0106,819,二 7.2,42579,"0,022009%",4,3,4,互,hù,hu,fourth,"mutually, reciprocally"
,107,0107,337,刀 18.2,126391,"0,065333%",4,3,4,切,qiè,qie,fourth,"cut, mince, slice, carve"
,108,0108,1195,瓦 98.0,22229,"0,011490%",6,7–9,4,瓦,wǎ,wa,third,tile; earthenware pottery; girl
,109,0109,596,止 77.0,68082,"0,035192%",4,3,4,止,zhǐ,zhi,third,"stop, halt, desist; detain"
,110,0110,233,小 42.1,183018,"0,094604%",1,1,4,少,shǎo,shao,third,"few, less, inadequate"
,111,0111,1656,曰 73.0,11075,"0,005725%",,7–9,4,曰,yuē,yue,first,say; KangXi radical 73
,112,0112,101,日 72.0,363763,"0,188032%",2,1,4,日,rì,ri,fourth,sun; day; daytime
,113,0113,14,丨 2.3,1104541,"0,570947%",1,1,4,中,zhōng,zhong,first,"central; center, middle; in the midst of; hit (target); attain"
,114,0114,1133,貝 154.0,24675,"0,012755%",5,4,4,贝,bèi,bei,fourth,"sea shell; money, currency"
,115,0115,2047,冂 13.2,6651,"0,003438%",,7–9,4,冈,gāng,gang,first,ridge or crest of hill
,116,0116,175,入 11.2,231331,"0,119577%",4,3,4,内,nèi,nei,fourth,inside
,117,0117,202,水 85.0,198933,"0,102830%",1,1,4,水,shuǐ,shui,third,"water, liquid, lotion, juice"
,118,0118,153,見 147.0,269080,"0,139090%",1,1,4,见,jiàn,jian,fourth,"see, observe, behold; perceive"
,119,0119,1004,十 24.2,30985,"0,016016%",1,1,4,午,wǔ,wu,third,noon; 7th terrestrial branch
,120,0120,1018,牛 93.0,30047,"0,015532%",2,1,4,牛,niú,niu,second,"cow, ox, bull; KangXi radical93"
,121,0121,143,手 64.0,280442,"0,144963%",2,1,4,手,shǒu,shou,third,hand
,122,0122,217,气 84.0,190687,"0,098568%",1,1,4,气,qì,qi,fourth,"steam, vapor; KangXi radical 84"
,123,0123,623,毛 82.0,64522,"0,033352%",4,1,4,毛,máo,mao,second,"hair, fur, feathers; coarse"
,124,0124,4029,士 33.1,564,"0,000292%",,,4,壬,rén,ren,second,9th heavenly stem
,125,0125,837,十 24.2,41105,"0,021248%",5,3,4,升,shēng,sheng,first,"arise, go up; hoist; advance"
,126,0126,3079,大 37.1,1709,"0,000883%",,,4,夭,yāo,yao,first,"young, fresh-looking; die young"
,127,0127,109,長 168.0,342148,"0,176859%",2,2,4,长,zhǎng,zhang,third,long; length; excel in; leader
,128,0128,1360,人 9.2,17263,"0,008923%",6,7–9,4,仁,rén,ren,second,"humaneness, benevolence, kindness"
,129,0129,156,人 9.2,267869,"0,138464%",1,1,4,什,shén,shen,second,"file of ten soldiers; mixed, miscellaneous"
,130,0130,455,片 91.0,90559,"0,046811%",3,2,4,片,piàn,pian,fourth,"slice, splinter, strip; rad. 91"
,131,0131,1812,人 9.2,8976,"0,004640%",,7–9,4,仆,pū,pu,first,"fall forward; lie prostrate, prone; servant"
,132,0132,178,匕 21.2,224729,"0,116164%",3,3,4,化,huà,hua,fourth,"change, convert, reform; -ize"
,133,0133,1536,人 9.2,13118,"0,006781%",6,7–9,4,仇,chóu,chou,second,"enemy, hate, hatred, enmity"
,134,0134,1188,巾 50.1,22592,"0,011678%",5,3,4,币,bì,bi,fourth,"currency, coins, legal tender"
,135,0135,601,人 9.2,67490,"0,034886%",4,3,4,仍,réng,reng,second,"yet, still, as ever; again; keep -ing, continuing"
,136,0136,494,人 9.2,82729,"0,042763%",4,3,4,仅,jǐn,jin,third,"only, merely, solely, just"
,137,0137,1866,斤 69.0,8365,"0,004324%",3,2,4,斤,jīn,jin,first,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69"
,138,0138,2363,爪 87.0,4419,"0,002284%",,7–9,4,爪,zhǎo,zhao,third,"claw, nail, talon; animal feet"
,139,0139,237,又 29.2,181385,"0,093759%",4,3,4,反,fǎn,fan,third,"reverse, opposite, contrary, anti"
,140,0140,831,人 9.2,41749,"0,021580%",2,1,4,介,jiè,jie,fourth,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor"
,141,0141,589,父 88.0,68576,"0,035448%",4,3,4,父,fù,fu,fourth,father; KangXi radical 88
,142,0142,98,人 9.2,369958,"0,191234%",2,1,4,从,cóng,cong,second,"from, by, since, whence, through"
,143,0143,2139,人 9.2,5882,"0,003040%",,,4,仑,lún,lun,second,"logical reasons, logical order"
,144,0144,336,人 9.2,126624,"0,065453%",1,1,4,今,jīn,jin,first,"now, today, modern era"
,145,0145,1378,凵 17.2,16707,"0,008636%",6,6,4,凶,xiōng,xiong,first,"culprit; murder; bad, sad"
,146,0146,79,刀 18.2,419382,"0,216782%",1,1,4,分,fēn,fen,first,divide; small unit of time etc.
,147,0147,1399,丿 4.4,16010,"0,008276%",5,5,4,乏,fá,fa,second,lack; poor
,148,0148,115,八 12.2,318626,"0,164700%",2,2,4,公,gōng,gong,first,"fair, equitable; public; duke"
,149,0149,1882,人 9.2,8275,"0,004277%",6,6,4,仓,cāng,cang,first,granary; berth; sea
,150,0150,169,月 74.0,240566,"0,124351%",1,1,4,月,yuè,yue,fourth,moon; month; KangXi radical 74
,151,0151,1500,氏 83.0,13868,"0,007168%",6,7–9,4,氏,shì,shi,fourth,"clan, family; mister"
,152,0152,2563,勹 20.2,3400,"0,001757%",5,7–9,4,勿,wù,wu,fourth,"must not, do not; without, never"
,153,0153,1948,欠 76.0,7682,"0,003971%",5,5,4,欠,qiàn,qian,fourth,"owe, lack, be deficient; KangXi radical number 76"
,154,0154,348,風 182.0,121803,"0,062961%",3,1,4,风,fēng,feng,first,"wind; air; manners, atmosphere"
,155,0155,1280,丶 3.3,19171,"0,009910%",,7–9,4,丹,dān,dan,first,cinnabar (native HgS); vermilion (artificial HgS used as pigment)
,156,0156,2692,勹 20.2,2890,"0,001494%",5,7–9,4,匀,yún,yun,second,equal
,157,0157,1244,丿 4.3,20291,"0,010489%",6,6,4,乌,wū,wu,first,"crow, rook, raven; black, dark"
,158,0158,2034,勹 20.2,6780,"0,003505%",6,7–9,4,勾,gōu,gou,first,"hook, join, connect; entice"
,159,0159,1504,几 16.2,13817,"0,007142%",,7–9,4,凤,fèng,feng,fourth,male phoenix; symbol of joy
,160,0160,478,八 12.2,85830,"0,044366%",1,1,4,六,liù,liu,fourth,number six
,161,0161,148,文 67.0,274222,"0,141748%",3,1,4,文,wén,wen,second,"literature, culture, writing"
,162,0162,3268,亠 8.2,1367,"0,000707%",,,4,亢,kàng,kang,fourth,"high, proud; violent, excessive; skilled; name"
,163,0163,60,方 70.0,492763,"0,254713%",3,1,4,方,fāng,fang,first,"a square, rectangle; a region; local"
,164,0164,433,火 86.0,97760,"0,050533%",2,1,4,火,huǒ,huo,third,"fire, flame; burn; anger, rage"
,165,0165,18,丶 3.3,1039036,"0,537086%",2,2,4,为,wèi,wei,fourth,"do, handle, govern, act; be"
,166,0166,580,斗 68.0,69456,"0,035902%",5,4,4,斗,dòu,dou,fourth,Chinese peck; liquid measure
,167,0167,1333,心 61.1,17829,"0,009216%",4,5,4,忆,yì,yi,fourth,"remember, reflect upon; memory"
,168,0168,251,言 149.2,171949,"0,088882%",4,2,4,计,jì,ji,fourth,"plan, plot; strategem; scheme"
,169,0169,1176,言 149.2,22991,"0,011884%",5,3,4,订,dìng,ding,fourth,draw up agreement; arrange
,170,0170,801,戶 63.0,43810,"0,022646%",4,4,4,户,hù,hu,fourth,door; family
,171,0171,213,言 149.2,191866,"0,099177%",1,1,4,认,rèn,ren,fourth,"recognize, know, understand"
,172,0172,3642,冖 14.2,863,"0,000446%",,7–9,4,冗,rǒng,rong,third,excessive; superfluous
,173,0173,2922,言 149.2,2114,"0,001093%",6,7–9,4,讥,jī,ji,first,"ridicule, jeer, mock; inspect"
,174,0174,90,心 61.0,392228,"0,202746%",3,2,4,心,xīn,xin,first,"heart; mind, intelligence; soul"
,175,0175,1474,尸 44.1,14422,"0,007455%",5,4,4,尺,chǐ,chi,third,"a Chinese foot, one-third of a meter; a ruler"
,176,0176,479,弓 57.1,85740,"0,044320%",4,4,4,引,yǐn,yin,third,"to pull, draw out, attract; to stretch"
,177,0177,1901,一 1.3,8067,"0,004170%",5,5,4,丑,chǒu,chou,third,"clown, comedian; 2nd terrestrial branch"
,178,0178,546,己 49.1,74917,"0,038725%",5,4,4,巴,bā,ba,first,"greatly desire, anxiously hope"
,179,0179,1289,子 39.1,18890,"0,009764%",6,7–9,4,孔,kǒng,kong,third,"opening, hole, orifice; great"
,180,0180,268,阜 170.2,162938,"0,084224%",4,2,4,队,duì,dui,fourth,"team, group; army unit"
,181,0181,367,力 19.2,116904,"0,060429%",3,2,4,办,bàn,ban,fourth,"manage, do, handle; deal with"
,182,0182,23,人 9.3,910627,"0,470711%",2,2,4,以,yǐ,yi,third,"by means of; thereby, therefore; consider as; in order to"
,183,0183,1443,儿 10.2,15027,"0,007768%",4,6,4,允,yǔn,yun,third,"to grant, to allow, to consent"
,184,0184,925,亅 6.3,35757,"0,018483%",6,6,4,予,yǔ,yu,third,"I, me; to give"
,185,0185,1614,邑 163.2,11651,"0,006023%",,7–9,4,邓,dèng,deng,fourth,surname
,186,0186,1562,力 19.2,12587,"0,006506%",5,5,4,劝,quàn,quan,fourth,"recommend, advise, urge"
,187,0187,581,又 29.2,69440,"0,035894%",3,3,4,双,shuāng,shuang,first,"set of two, pair, couple; both"
,188,0188,282,丨 2.3,151357,"0,078238%",1,1,4,书,shū,shu,first,"book, letter, document; writings"
,189,0189,1417,幺 52.1,15371,"0,007945%",5,6,4,幻,huàn,huan,fourth,"illusion, fantasy, mirage"
,190,0190,1001,玉 96.0,31279,"0,016168%",5,4,5,玉,yù,yu,fourth,"jade, precious stone, gem"
,191,0191,1241,刀 18.3,20458,"0,010575%",6,6,5,刊,kān,kan,first,"publication, periodical; publish"
,192,0192,385,木 75.1,110491,"0,057114%",5,4,5,未,wèi,wei,fourth,not yet; 8th terrestrial branch
,193,0193,1164,木 75.1,23526,"0,012161%",3,2,5,末,mò,mo,fourth,"final, last, end; insignificant"
,194,0194,425,示 113.0,98963,"0,051155%",4,2,5,示,shì,shi,fourth,"show, manifest; demonstrate"
,195,0195,395,凵 17.3,107513,"0,055574%",5,5,5,击,jī,ji,first,"strike, hit, beat; attack, fight"
,196,0196,223,手 64.2,186146,"0,096220%",1,1,5,打,dǎ,da,third,"strike, hit, beat; fight; attack"
,197,0197,1219,工 48.2,20964,"0,010836%",4,3,5,巧,qiǎo,qiao,third,"skillful, ingenious, clever"
,198,0198,129,止 77.1,296810,"0,153424%",2,1,5,正,zhèng,zheng,fourth,"right, proper, correct"
,199,0199,1509,手 64.2,13748,"0,007106%",6,6,5,扑,pū,pu,first,"pound, beat, strike; attack"
,200,0200,3341,十 24.3,1253,"0,000648%",,7–9,5,卉,huì,hui,fourth,general term for plants; myriads
,201,0201,3121,手 64.2,1623,"0,000839%",6,7–9,5,扒,bā,ba,first,scratch; dig up; crawl; crouch
,202,0202,452,力 19.3,92052,"0,047582%",4,3,5,功,gōng,gong,first,"achievement, merit, good result"
,203,0203,1905,手 64.2,8045,"0,004159%",4,5,5,扔,rēng,reng,first,"throw, hurl; throw away, cast"
,204,0204,64,厶 28.3,476270,"0,246188%",1,1,5,去,qù,qu,fourth,"go away, leave, depart"
,205,0205,1408,甘 99.0,15654,"0,008092%",6,7–9,5,甘,gān,gan,first,"sweetness; sweet, tasty"
,206,0206,181,一 1.4,214990,"0,111130%",3,3,5,世,shì,shi,fourth,generation; world; era
,207,0207,1291,艸 140.2,18825,"0,009731%",,7–9,5,艾,ài,ai,fourth,"artemisia, mugwort; translit."
,208,0208,509,口 30.2,80454,"0,041587%",5,3,5,古,gǔ,gu,third,"old, classic, ancient"
,209,0209,514,艸 140.2,80074,"0,041391%",3,2,5,节,jié,jie,second,"knot, node, joint; section"
,210,0210,92,木 75.1,388118,"0,200621%",1,1,5,本,běn,ben,third,"root, origin, source; basis"
,211,0211,328,木 75.1,131634,"0,068043%",4,3,5,术,shù,shu,fourth,"art, skill, special feat; method, technique"
,212,0212,30,口 30.2,723108,"0,373781%",2,2,5,可,kě,ke,third,"may, can, -able; possibly"
,213,0213,2645,一 1.4,3055,"0,001579%",6,7–9,5,丙,bǐng,bing,third,third; 3rd heavenly stem
,214,0214,782,工 48.2,45568,"0,023554%",2,1,5,左,zuǒ,zuo,third,"left; east; unorthodox, improper"
,215,0215,1339,厂 27.3,17726,"0,009163%",4,5,5,厉,lì,li,fourth,"whetstone; grind, sharpen; whet"
,216,0216,414,石 112.0,102149,"0,052802%",5,3,5,石,shí,shi,second,"stone, rock, mineral; rad. 112"
,217,0217,783,口 30.2,45561,"0,023551%",2,1,5,右,yòu,you,fourth,right; west; right-wing
,218,0218,380,巾 50.2,113652,"0,058748%",5,3,5,布,bù,bu,fourth,"cotton cloth, textiles, linen"
,219,0219,4574,大 37.2,296,"0,000153%",,,5,夯,hāng,hang,first,"heavy load, burden; lift up"
,220,0220,3689,戈 62.1,811,"0,000419%",,,5,戊,wù,wu,fourth,5th heavenly stem
,221,0221,696,龍 212.0,54169,"0,028000%",5,3,5,龙,lóng,long,second,dragon; symbolic of emperor
,222,0222,215,干 51.2,191267,"0,098868%",3,2,5,平,píng,ping,second,"flat, level, even; peaceful"
,223,0223,953,火 86.1,34135,"0,017645%",6,6,5,灭,miè,mie,fourth,"extinguish; wipe out, exterminate"
,224,0224,3269,車 159.1,1367,"0,000707%",,,5,轧,yà,ya,fourth,crush by weight; grind
,225,0225,194,一 1.4,206238,"0,106606%",1,1,5,东,dōng,dong,first,"east, eastern, eastward"
,226,0226,717,卜 25.3,52244,"0,027005%",3,2,5,卡,kǎ,ka,third,"card, punch card; calorie"
,227,0227,315,匕 21.3,136939,"0,070785%",1,1,5,北,běi,bei,third,north; northern; northward
,228,0228,737,卜 25.3,49980,"0,025835%",4,2,5,占,zhàn,zhan,fourth,divine; observe; versify
,229,0229,2857,凵 17.3,2287,"0,001182%",6,7–9,5,凸,tū,tu,first,"protrude, bulge out, convex"
,230,0230,1711,卜 25.3,10266,"0,005307%",,,5,卢,lú,lu,second,"cottage, hut; surname; black"
,231,0231,130,一 1.4,296169,"0,153092%",3,2,5,业,yè,ye,fourth,"profession, business; GB radical 111"
,232,0232,915,日 72.1,36291,"0,018759%",3,3,5,旧,jiù,jiu,fourth,"old, ancient; former, past"
,233,0233,1888,巾 50.2,8249,"0,004264%",4,4,5,帅,shuài,shuai,fourth,"commander, commander-in-chief"
,234,0234,933,彐 58.2,35153,"0,018171%",5,4,5,归,guī,gui,first,"return; return to, revert to"
,235,0235,1300,日 72.1,18569,"0,009598%",5,5,5,旦,dàn,dan,fourth,dawn; morning; day
,236,0236,239,目 109.0,180827,"0,093471%",3,2,5,目,mù,mu,fourth,"eye; look, see; division, topic"
,237,0237,296,一 1.4,144597,"0,074743%",3,2,5,且,qiě,qie,third,"moreover, also (post-subject); about to, will soon (pre-verb)"
,238,0238,920,口 30.2,36032,"0,018625%",4,4,5,叶,yè,ye,fourth,"to harmonize, to rhyme; to unite; (borrowed for) leaf"
,239,0239,1106,田 102.0,25620,"0,013243%",5,5,5,甲,jiǎ,jia,third,"armor, shell; fingernails; 1st heavenly stem"
,240,0240,1110,田 102.0,25531,"0,013197%",4,4,5,申,shēn,shen,first,"to state to a superior, report; extend; 9th terrestrial branch"
,241,0241,2611,口 30.2,3188,"0,001648%",6,7–9,5,叮,dīng,ding,first,exhort or enjoin repeatedly
,242,0242,230,曰 73.1,183834,"0,095025%",1,1,5,电,diàn,dian,fourth,electricity; electric; lightning
,243,0243,487,口 30.2,84335,"0,043593%",1,1,5,号,hào,hao,fourth,"mark, sign; symbol; number"
